date,change,stability
2011-01-03,-0.3449292581316946,2
2011-01-04,0.8114725042093729,1
2011-01-05,-0.913005473440704,2
2011-01-06,0.2371685846931197,1
2011-01-07,0.2591631243242878,1
2011-01-10,-0.472760927447402,2
2011-01-11,0.11332829824974575,1
2011-01-12,-0.140749030374432,2
2011-01-13,0.08442770766193958,1
2011-01-14,-0.9076652510297128,2
2011-01-18,-0.4336394782099362,2
2011-01-19,1.1305311727038143,1
2011-01-20,-0.13742552373854802,2
2011-01-21,0.6101817820323068,1
2011-01-24,-0.675039900220643,2
2011-01-25,-0.3080116742462731,2
2011-01-26,-0.3831835932925336,2
2011-01-27,-0.3806265238819305,2
2011-01-28,1.963829509360261,1
2011-01-31,-0.5389740421505955,2
2011-02-01,-0.8790610676067224,2
2011-02-02,-0.11991026148172675,2
2011-02-03,-0.5530525398819758,2
2011-02-04,-0.3530795204119971,2
2011-02-07,-0.4423420970262911,2
2011-02-08,-0.4509049163829604,2
2011-02-09,-0.06287936522866182,2
2011-02-10,-0.908312085267641,2
2011-02-11,-1.1176670048513788,2
2011-02-14,-0.16078334663262253,2
2011-02-15,-0.011544479557969285,2
2011-02-16,-0.32772079921912045,2
2011-02-17,-0.6529769025250642,2
2011-02-18,-0.12320714888328725,2
2011-02-22,1.2652424453273536,1
2011-02-23,0.8948751604058293,1
2011-02-24,-0.0989537078505942,2
2011-02-25,-0.9031607119542244,2
2011-02-28,-0.11784642874655198,2
2011-03-01,2.036363073194816,1
2011-03-02,-0.379935830839556,2
2011-03-03,-0.9012614795205954,2
2011-03-04,0.5580302795218188,1
2011-03-07,1.248311558037083,1
2011-03-08,-0.9584532587312512,2
2011-03-09,-0.16975929786903465,2
2011-03-10,0.7005883788087633,1
2011-03-11,-1.2496089066150429,2
2011-03-14,0.016604477383158088,1
2011-03-15,-1.7745012336426744,2
2011-03-16,1.295198710845574,1
2011-03-17,0.501381056267322,1
2011-03-18,0.6677764360014314,1
2011-03-21,-0.3797538663777973,2
2011-03-22,0.5384252759901916,1
2011-03-23,-0.4750228464180896,2
2011-03-24,-0.4930688678801794,2
2011-03-25,-0.17632898024035268,2
2011-03-28,0.5830642795030418,1
2011-03-29,-0.8652329735968566,2
2011-03-30,-0.38988126279373797,2
2011-03-31,-0.13179304797742097,2
2011-04-01,-0.14368413502206806,2
2011-04-04,0.21192029668783915,1
2011-04-05,-0.22023665567844453,2
2011-04-06,0.3375669598560847,1
2011-04-07,0.1339507908973259,1
2011-04-08,1.1027432575006038,1
2011-04-11,0.3272819261270325,1
2011-04-12,0.05789080761433042,1
2011-04-13,0.3340238749882457,1
2011-04-14,-0.5911515899550618,2
2011-04-15,-0.3785288194983065,2
2011-04-18,0.029910039450364308,1
2011-04-19,-0.32149392501524243,2
2011-04-20,-0.2296744789688308,2
2011-04-21,-0.07057057951806406,2
2011-04-25,0.07850034613654043,1
2011-04-26,-0.5082543378463279,2
2011-04-27,-0.4773716292713823,2
2011-04-28,-0.4541356798693468,2
2011-04-29,-0.05783117976340391,2
2011-05-02,0.5844001097801372,1
2011-05-03,0.3082284244572509,1
2011-05-04,0.6624168342392099,1
2011-05-05,-0.14941336431002514,2
2011-05-06,0.6111901400713428,1
2011-05-09,-0.5116364379642195,2
2011-05-10,-0.7526119336427617,2
2011-05-11,0.7826830363313145,1
2011-05-12,-0.8105675116035016,2
2011-05-13,0.8614233412583289,1
2011-05-16,0.22487252751976933,1
2011-05-17,-0.18686152245362608,2
2011-05-18,-0.9796893978991654,2
2011-05-19,0.09082149297161698,1
2011-05-20,0.5567390260256342,1
2011-05-23,0.06881038151224128,1
2011-05-24,0.4932147839453968,1
2011-05-25,-0.7639526509034954,2
2011-05-26,-0.8356380974084544,2
2011-05-27,-0.1963563195940303,2
2011-05-31,-0.10390378145205996,2
2011-06-01,2.1310591703202353,1
2011-06-02,0.200427940520938,1
2011-06-03,-0.10576768849029884,2
2011-06-06,0.9927062190870988,1
2011-06-07,0.36447124216446397,1
2011-06-08,0.480117679978325,1
2011-06-09,-0.4555738527696937,2
2011-06-10,1.1028924424780675,1
2011-06-13,0.24911493072527574,1
2011-06-14,-0.550999123792688,2
2011-06-15,0.8824999170387907,1
2011-06-16,-0.021637927948276604,2
2011-06-17,0.5201650341912651,1
2011-06-20,-1.0912881475230891,2
2011-06-21,-1.0689495284400858,2
2011-06-22,0.2917421050986753,1
2011-06-23,-1.0710809692020566,2
2011-06-24,1.0470919306390536,1
2011-06-27,-0.7544461698400191,2
2011-06-28,-1.0308509011868192,2
2011-06-29,-0.3740190825377149,2
2011-06-30,-0.5568931071204182,2
2011-07-01,-1.513888472533195,2
2011-07-05,0.06265888597503831,1
2011-07-06,-0.34593352755355394,2
2011-07-07,-0.2430589799370409,2
2011-07-08,-0.3498996968271789,2
2011-07-11,0.8725702317454991,1
2011-07-12,0.14434081589112085,1
2011-07-13,0.3450638398028888,1
2011-07-14,1.2959449223335495,1
2011-07-15,0.026091426762930067,1
2011-07-18,0.7234440574709642,1
2011-07-19,-1.099136295045095,2
2011-07-20,0.40847745884548003,1
2011-07-21,-0.7040530909326421,2
2011-07-22,-0.08656323437155522,2
2011-07-25,-0.30599752204148584,2
2011-07-26,0.4182065704751156,1
2011-07-27,1.8391783619027169,1
2011-07-28,0.43211302427346737,1
2011-07-29,-0.5480694112628277,2
2011-08-01,1.9232615350684628,1
2011-08-02,2.182766437485226,1
2011-08-03,-0.5221324875802672,2
2011-08-04,3.8875062599467416,1
2011-08-05,1.6997370471591573,1
2011-08-08,4.510306541254658,1
2011-08-09,-3.655602247236048,2
2011-08-10,2.184460695945226,1
2011-08-11,-4.193756022355457,2
2011-08-12,0.2689264271697401,1
2011-08-15,-1.4817500750901076,2
2011-08-16,0.037407422136082655,1
2011-08-17,0.7932376045112078,1
2011-08-18,2.245834995791236,1
2011-08-19,0.2802697112194797,1
2011-08-22,2.0722521779220293,1
2011-08-23,-3.299617515589085,2
2011-08-24,-1.8841436500741875,2
2011-08-25,2.5061951575553243,1
2011-08-26,-2.683190678823133,2
2011-08-29,-2.026752917434889,2
2011-08-30,-0.9397346853862996,2
2011-08-31,0.09758264166539538,1
2011-09-01,1.484026308691449,1
2011-09-02,0.7779747577502444,1
2011-09-06,-2.2997371489195824,2
2011-09-07,-1.7442818144873915,2
2011-09-08,0.5430036016860132,1
2011-09-09,1.650714396653692,1
2011-09-12,-2.0455263172976945,2
2011-09-13,-1.0866832370430437,2
2011-09-14,-1.0641149831636731,2
2011-09-15,-0.5349206469166069,2
2011-09-16,0.018626064498375068,1
2011-09-19,-0.5656789135998807,2
2011-09-20,0.8742960737489829,1
2011-09-21,3.2775669169459083,1
2011-09-22,0.4832493378510303,1
2011-09-23,-1.4051870932787849,2
2011-09-26,-1.4404612590496475,2
2011-09-27,0.8454356165928829,1
2011-09-28,2.823836637350848,1
2011-09-29,1.174638014856164,1
2011-09-30,1.3442644150438106,1
2011-10-03,2.9333153709867754,1
2011-10-04,-4.517894526157937,2
2011-10-05,-1.8885940422288472,2
2011-10-06,-2.472894106468821,2
2011-10-07,1.6488966691051836,1
2011-10-10,-1.6688535948706873,2
2011-10-11,-0.6760690831403229,2
2011-10-12,-0.3031585398279654,2
2011-10-13,-0.3615063634199479,2
2011-10-14,-0.2844381136866635,2
2011-10-17,1.7492166649982517,1
2011-10-18,-2.3900732853538416,2
2011-10-19,1.1848419007503073,1
2011-10-20,-0.5659475804950033,2
2011-10-21,-1.0602221499403337,2
2011-10-24,-1.6626739581647756,2
2011-10-25,1.5669467648294475,1
2011-10-26,0.19971398885341,1
2011-10-27,-0.8682640124875967,2
2011-10-28,-0.4410701026431572,2
2011-10-31,1.1592850685446023,1
2011-11-01,-0.13454242971946007,2
2011-11-02,-0.10727560444257422,2
2011-11-03,-0.8996981942790928,2
2011-11-04,-0.5081054557299207,2
2011-11-07,-0.4879094961960797,2
2011-11-08,-0.6229821574407521,2
2011-11-09,1.6224238316511077,1
2011-11-10,0.4615059776302457,1
2011-11-11,-1.008638748489942,2
2011-11-14,0.6100544595517053,1
2011-11-15,-0.8942998806144518,2
2011-11-16,0.6681661938732238,1
2011-11-17,1.7248317883660331,1
2011-11-18,0.5878861646813931,1
2011-11-21,0.2728532373048315,1
2011-11-22,0.2599563544875403,1
2011-11-23,1.4114729541360609,1
2011-11-25,-0.09968389523135526,2
2011-11-28,-0.23381271137965154,2
2011-11-29,0.009050185099985666,0
2011-11-30,-1.5576257358507113,2
2011-12-01,-0.17290056555724012,2
2011-12-02,1.002792455083072,1
